,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2018-12-21,0.08728909336385271,3243.99755859375,4198.4296875,3191.303466796875,3896.543701171875,41560420050,2018,12,4,51,20.171530954465176,-10.364729125324711,-39.819395325350406
2018-12-28,-0.19568328985146113,3898.083740234375,4271.79248046875,3642.632080078125,3923.918701171875,41244599149,2018,12,4,52,0.7025456943230646,-2.3237145399876424,-38.577825929938605
2019-01-04,-0.17896182707377845,3932.49169921875,3963.7587890625,3707.231201171875,3857.717529296875,33371313810,2019,1,1,1,-1.687118845128699,12.800827637625556,-39.58742520693544
2019-01-11,-0.07592162299318375,3851.973876953125,4109.02099609375,3653.06982421875,3687.365478515625,38798618092,2019,1,1,2,-4.415876732485879,13.720360587409974,-33.86543735264337
2019-01-18,-0.14092702241170976,3686.97314453125,3727.836181640625,3544.92724609375,3657.83935546875,36509889396,2019,1,1,3,-0.8007376328413418,-6.126053343924653,-15.855833634078675
2019-01-25,-0.17488399808909616,3652.3779296875,3758.533447265625,3539.721435546875,3599.765869140625,37818623789,2019,1,1,4,-1.5876445268516393,-8.260946689197258,-10.392700409827393
2019-02-01,0.05842845908233098,3599.71533203125,3654.93310546875,3400.81982421875,3487.9453125,40684263782,2019,2,1,5,-3.106328597624042,-9.585259003249814,1.9885761507497435
2019-02-08,-0.19615033141204283,3484.6259765625,3695.614013671875,3391.023681640625,3666.7802734375,38898611438,2019,2,1,6,5.127229498025576,-0.5582632152430933,13.08550164600868
2019-02-15,-0.033162688925152714,3671.5859375,3695.613037109375,3607.69775390625,3620.810791015625,44000431986,2019,2,1,7,-1.2536743135355577,-1.012307016648073,-7.076345892728575
2019-02-22,0.1171322850818807,3615.270263671875,4010.87939453125,3615.270263671875,4005.526611328125,57111127154,2019,2,1,8,10.625129080677208,11.271864808373433,2.079755376478065
2019-03-01,0.040174568976674783,3998.916259765625,4210.6416015625,3787.058837890625,3859.583740234375,61328826287,2019,3,1,9,-3.64353767319896,10.654938493516731,0.04837603902636545
2019-03-08,0.06819009761531632,3855.318115234375,3950.43212890625,3733.749755859375,3901.131591796875,63433742423,2019,3,1,10,1.0764852989036733,6.39120156877242,5.79725862615883
2019-03-15,-0.03709578510044383,3894.552490234375,3987.23779296875,3863.55908203125,3960.9111328125,69789345123,2019,3,1,11,1.5323641258686793,9.392933280047977,8.285540940736901
2019-03-22,-0.10431573092937471,3963.900146484375,4097.35986328125,3961.657470703125,4023.96826171875,67329731534,2019,3,1,12,1.5919854496072805,0.4604051397004705,11.78416619299174
2019-03-29,-0.10361610140119279,4022.71337890625,4113.5009765625,3934.03125,4098.37451171875,70960912702,2019,3,1,13,1.8490764628501077,6.1869566138724075,17.501111529217827
2019-04-05,-0.08714039779844741,4092.13623046875,5307.00341796875,4053.90966796875,5036.68115234375,108239679699,2019,4,2,14,22.894604627811297,29.108209600892664,37.359775518318905
